2019-04-19 09:15:59,999 [AUDIT] Token created by 'anonymous': tokenId='08dc88b5-a82f-421a-ac61-aaf5ba03afc4', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-19 09:28:33,216 [AUDIT] Token created by 'anonymous': tokenId='9c8055b6-f29f-450c-9159-afb934532122', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-19 13:11:50,058 [AUDIT] Token created by 'anonymous': tokenId='d346ba63-d07b-4c5a-9e8c-889cd5b62de4', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-19 15:15:09,586 [AUDIT] Token created by 'anonymous': tokenId='981260ab-29dd-4252-8fb8-3efd088eec8f', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-23 07:46:51,105 [AUDIT] Token created by 'anonymous': tokenId='57f790f0-449c-4ac1-9c4f-06a9b53582f3', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-23 08:29:04,069 [AUDIT] Token created by 'anonymous': tokenId='688320c5-d561-48a3-b915-4476c8091cf7', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-23 08:36:59,965 [AUDIT] Token created by 'anonymous': tokenId='24c9c9e1-e7ff-40e3-8e91-57dd500f05a4', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-24 07:52:43,437 [AUDIT] Token created by 'anonymous': tokenId='3cf1b5ea-8151-4a32-ac08-8c494de683dc', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-26 12:13:20,498 [AUDIT] Token created by 'anonymous': tokenId='7c095f7d-8aeb-4f99-8e2b-f2c751388936', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-26 12:18:47,202 [AUDIT] Token created by 'anonymous': tokenId='ecfea162-903f-4c10-9ccc-1a080f27640a', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-26 12:33:21,232 [AUDIT] Token created by 'anonymous': tokenId='74a1346d-a367-4fd8-9233-fa299fabd175', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-26 12:43:15,967 [AUDIT] Token created by 'anonymous': tokenId='a0879245-642e-4214-a29e-7c58901c9459', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-26 12:48:40,903 [AUDIT] Token created by 'anonymous': tokenId='601ba7a6-408e-494c-b5ab-68f1bbf2603f', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-26 12:57:30,474 [AUDIT] Token created by 'anonymous': tokenId='b44789b3-b2fb-4105-ac8a-8c0dbaa8457e', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-26 13:06:42,195 [AUDIT] Token created by 'anonymous': tokenId='f3678f11-c3c7-4982-99e8-619c1ca8c348', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-26 13:34:21,649 [AUDIT] Token created by 'anonymous': tokenId='2b05cf7e-2b45-46d2-9f01-a3f8e608117d', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-26 14:23:59,486 [AUDIT] Token created by 'anonymous': tokenId='48494cea-1752-4216-846f-0eb563bc1e28', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-26 14:28:07,811 [AUDIT] Token created by 'anonymous': tokenId='538e0f97-4a2a-4e21-aec2-4bf51057bf1a', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-26 14:35:18,596 [AUDIT] Token created by 'anonymous': tokenId='375f2d1e-f727-4730-8ba9-b6415bcb43e6', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-26 15:20:58,462 [AUDIT] Token created by 'anonymous': tokenId='a732fa75-55ad-45f2-ab2a-24563f99e076', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-26 15:25:21,522 [AUDIT] Token created by 'anonymous': tokenId='997b5c66-af71-43ab-ae99-7ba89a9ddcfe', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-29 09:44:49,322 [AUDIT] Token created by 'anonymous': tokenId='69d9b648-7dd6-487a-9cf1-7defa1f54468', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-29 14:30:37,028 [AUDIT] Token created by 'anonymous': tokenId='c44cd9d4-f556-4e07-a07d-ec19ac527045', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-30 09:26:03,119 [AUDIT] Token created by 'anonymous': tokenId='00fc86d7-60eb-46b5-8459-aff112248a4b', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-30 12:03:03,559 [AUDIT] Token created by 'anonymous': tokenId='e6937cc7-05a6-43db-a4ef-e2d3433d1627', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-05-02 07:20:47,550 [AUDIT] Token created by 'anonymous': tokenId='b7fba58e-fdf3-479e-914b-aca3c761b66a', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-05-03 08:45:48,995 [AUDIT] Token created by 'anonymous': tokenId='98c36f00-e83b-42de-80f0-0ee42e2b584f', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-05-03 09:01:54,497 [AUDIT] Token created by 'anonymous': tokenId='6e0545ef-3e39-4007-a665-e31d3b260344', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
